pagina,visual_id,tipo_visual,tipo_campo,tabela,campo_medida
Gráfico Operacional,45e26d141c924604d16a,clusteredBarChart,Measure,Medidas,Liberadas
Gráfico Operacional,8202edec96b802bca1e0,columnChart,Column,Base,Gestor de Validação - NQ
Gráfico Operacional,8202edec96b802bca1e0,columnChart,Measure,Medidas,NQ
Gráfico Operacional,8202edec96b802bca1e0,columnChart,Measure,Medidas,Em Ajuste
Gráfico Operacional,8202edec96b802bca1e0,columnChart,Measure,Medidas,Validadas
Gráfico Operacional,a85c031e5ca8d8697e82,slicer,Column,Base,Esteira Producao
Gráfico Historico de Atualizações,6a2dbc289b38304082f1,pivotTable,Column,Base,Bloco
Gráfico Historico de Atualizações,6a2dbc289b38304082f1,pivotTable,Column,Base,Data Liberação
Gráfico Historico de Atualizações,6a2dbc289b38304082f1,pivotTable,Measure,Medidas,UAs Liberadas Histórico
Gráfico Historico de Atualizações,7e9c64ad711d359a338b,cardVisual,Measure,Medidas,UAs com Retorno
Gráfico Historico de Atualizações,aa31e4b017bfbf2b1836,lineChart,Column,Base,Data Liberação
Gráfico Historico de Atualizações,aa31e4b017bfbf2b1836,lineChart,Column,Base,Bloco
Gráfico Historico de Atualizações,aa31e4b017bfbf2b1836,lineChart,Measure,Medidas,UAs Liberadas por Dia
Gráfico Historico de Atualizações,92cd836fd68c23716832,cardVisual,Measure,Medidas,Total de Retornos
Gráfico Historico de Atualizações,96f5b0e662a853c5f4d8,cardVisual,Measure,Medidas,UAs para Comitê
Gráfico Historico de Atualizações,58925ced69fa5a7e6fc7,cardVisual,Measure,Medidas,Maior Nº de Retornos
Gráfico Historico de Atualizações,27fb9514ac0bfb51bf2a,slicer,Column,Base,Esteira Producao
Análise Operacional,1a74071d14b8f093bdc5,slicer,Column,DimBloco,Bloco
Análise Operacional,1a74071d14b8f093bdc5,slicer,Column,Historico_Atualizacoes,Bloco
Análise Operacional,6228f93610184ed28f5a,tableEx,Column,DimBloco,Bloco
Análise Operacional,6228f93610184ed28f5a,tableEx,Measure,Medidas,Total UAs
Análise Operacional,6228f93610184ed28f5a,tableEx,Measure,Medidas,Liberadas
Análise Operacional,6228f93610184ed28f5a,tableEx,Measure,Medidas,UAs Não Liberadas
Análise Operacional,6228f93610184ed28f5a,tableEx,Measure,Medidas,NQ
Análise Operacional,6228f93610184ed28f5a,tableEx,Measure,Medidas,Em Ajuste
Análise Operacional,6228f93610184ed28f5a,tableEx,Measure,Medidas,Validadas
Análise Operacional,6228f93610184ed28f5a,tableEx,Measure,Medidas,% Analisado
Análise Operacional,6228f93610184ed28f5a,tableEx,Measure,Medidas,% a Chegar
Análise Operacional,6f96700b4a1321624ffa,slicer,Column,Base,Esteira Producao
Análise Operacional,7c7fb55bc016b95ca50a,slicer,Column,Base,Titulo
Análise Operacional,b7739e97b460e00caab3,tableEx,Column,Base,Titulo
Análise Operacional,b7739e97b460e00caab3,tableEx,Column,Base,Name
Análise Operacional,b7739e97b460e00caab3,tableEx,Column,Base,Bloco
Análise Operacional,b7739e97b460e00caab3,tableEx,Measure,Medidas,Liberadas
Análise Operacional,b7739e97b460e00caab3,tableEx,Measure,Medidas,NQ
Análise Operacional,b7739e97b460e00caab3,tableEx,Measure,Medidas,Em Ajuste
Análise Operacional,b7739e97b460e00caab3,tableEx,Measure,Medidas,Validadas
Análise Operacional,15177f3310bef023e88c,slicer,Column,Base,Revisor Validador
Análise Operacional,ac934e799df4b2c92575,slicer,Column,Base,Gestor de Validação - NQ
Análise Operacional,a547e10423ffaf3f0e9d,tableEx,Column,Base,Revisor Validador
Análise Operacional,a547e10423ffaf3f0e9d,tableEx,Measure,Medidas,Liberadas
Análise Operacional,a547e10423ffaf3f0e9d,tableEx,Measure,Medidas,NQ
Análise Operacional,a547e10423ffaf3f0e9d,tableEx,Measure,Medidas,Em Ajuste
Análise Operacional,a547e10423ffaf3f0e9d,tableEx,Measure,Medidas,Validadas
Análise Operacional,a547e10423ffaf3f0e9d,tableEx,Column,DimBloco1,Bloco
Análise Operacional,b917fcaca1d38b474bca,slicer,Column,Base,Status Dashboard
Análise Operacional,b917fcaca1d38b474bca,slicer,Column,Historico_Atualizacoes,Bloco
Análise Operacional,8d234f23dd432bb54e96,slicer,Column,Base,Esteira Producao
Análise Operacional,42c1aba9f2a785af68d5,tableEx,Column,Base,Gestor de Validação - NQ
Análise Operacional,42c1aba9f2a785af68d5,tableEx,Measure,Medidas,UAs Liberadas por Professor
Análise Operacional,42c1aba9f2a785af68d5,tableEx,Measure,Medidas,UAs Não Liberadas Professor
Análise Operacional,42c1aba9f2a785af68d5,tableEx,Measure,Medidas,UAs Previstas Professor
Análise Operacional,42c1aba9f2a785af68d5,tableEx,Measure,Medidas,NQ
Análise Operacional,42c1aba9f2a785af68d5,tableEx,Measure,Medidas,Em Ajuste
Análise Operacional,42c1aba9f2a785af68d5,tableEx,Measure,Medidas,Validadas
Análise Operacional,42c1aba9f2a785af68d5,tableEx,Measure,Medidas,% Analisado
